id,label,obsolete,ordering
037,Administration CENTRALE,0,0
002,Académie AIX-MARSEILLE,0,1
020,Académie AMIENS,0,2
003,Académie BESANCON,0,3
004,Académie BORDEAUX,0,4
005,Académie CAEN,0,5
006,Académie CLERMONT-FERRAND,0,6
027,Académie CORSE,0,7
024,Académie CRETEIL,0,8
007,Académie DIJON,0,9
000,Académie ETRANGER,0,10
008,Académie GRENOBLE,0,11
032,Académie GUADELOUPE,0,12
033,Académie GUYANE,0,13
028,Académie LA REUNION,0,14
009,Académie LILLE,0,15
022,Académie LIMOGES,0,16
010,Académie LYON,0,17
031,Académie MARTINIQUE,0,18
043,Académie MAYOTTE,0,19
011,Académie MONTPELLIER,0,20
012,Académie NANCY-METZ,0,21
017,Académie NANTES,0,22
023,Académie NICE,0,23
040,Académie NOUVELLE CALEDONIE,0,24
018,Académie ORLEANS-TOURS,0,25
001,Académie PARIS,0,26
013,Académie POITIERS,0,27
041,Académie POLYNESIE FRANCAISE,0,28
019,Académie REIMS,0,29
014,Académie RENNES,0,30
021,Académie ROUEN,0,31
044,Académie ST PIERRE ET MIQUELON,0,32
015,Académie STRASBOURG,0,33
016,Académie TOULOUSE,0,34
025,Académie VERSAILLES,0,35
042,Académie WALLIS ET FUTUNA,0,36
